time,round,nbMessages
0,2,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,4,320
0,3,320
0,2,320
0,4,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,2,320
0,2,320
0,3,320
0,3,320
0,2,320
0,3,320
0,2,320
0,3,320
0,3,320
0,2,320
0,4,320
0,3,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,4,320
0,4,320
0,2,320
0,3,320
0,3,320
8,3,1240
8,3,1240
8,3,1240
11,3,1240
8,3,1240
8,4,1240
8,5,1240
9,3,1240
9,3,1240
8,3,1240
12,3,1240
7,3,1240
8,4,1240
9,3,1240
7,3,1240
8,4,1240
16,3,1240
12,6,1240
15,3,1240
10,4,1240
9,4,1240
13,4,1240
8,4,1240
11,3,1240
11,4,1240
12,3,1240
8,4,1240
13,4,1240
10,2,1240
10,3,1240
10,3,1240
10,3,1240
10,4,1240
8,3,1240
8,4,1240
8,4,1240
9,3,1240
8,3,1240
9,5,1240
8,4,1240
10,3,1240
9,3,1240
10,3,1240
10,3,1240
8,3,1240
8,4,1240
7,3,1240
7,2,1240
7,3,1240
7,3,1240
10,5,1240
0,5,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,5,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,5,2760
0,4,2760
0,5,2760
0,4,2760
0,3,2760
0,4,2760
0,5,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,6,2760
0,4,2760
0,4,2760
0,5,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,5,2760
0,4,2760
16,4,4880
17,6,4880
15,4,4880
14,5,4880
19,5,4880
19,3,4880
18,5,4880
16,4,4880
14,5,4880
15,5,4880
18,4,4880
15,5,4880
17,5,4880
14,4,4880
21,4,4880
15,4,4880
18,4,4880
20,4,4880
21,5,4880
14,5,4880
19,4,4880
15,6,4880
23,5,4880
17,5,4880
19,5,4880
23,5,4880
21,5,4880
15,3,4880
15,4,4880
16,4,4880
13,4,4880
20,3,4880
16,4,4880
22,4,4880
18,4,4880
14,5,4880
18,7,4880
17,4,4880
15,6,4880
14,4,4880
24,4,4880
14,5,4880
