time,round,nbMessages
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,2,320
0,2,320
0,3,320
0,2,320
0,2,320
0,2,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,4,320
0,2,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
7,4,1240
8,4,1240
13,4,1240
9,3,1240
10,3,1240
9,3,1240
9,3,1240
11,3,1240
10,4,1240
9,6,1240
10,4,1240
8,3,1240
9,4,1240
10,3,1240
9,3,1240
13,3,1240
9,3,1240
8,3,1240
8,4,1240
11,3,1240
9,3,1240
7,3,1240
9,3,1240
10,2,1240
8,3,1240
11,3,1240
8,3,1240
10,5,1240
9,3,1240
9,3,1240
12,3,1240
13,3,1240
7,3,1240
9,4,1240
11,3,1240
11,4,1240
10,3,1240
12,3,1240
11,3,1240
9,3,1240
9,3,1240
8,2,1240
10,2,1240
9,3,1240
12,3,1240
11,3,1240
9,3,1240
8,3,1240
9,3,1240
12,3,1240
10,3,1240
0,3,2760
0,4,2760
0,5,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,3,2760
0,5,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,3,2760
0,3,2760
0,5,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,3,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,5,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,4,2760
0,5,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,5,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
17,3,4880
13,3,4880
12,3,4880
13,4,4880
13,4,4880
20,4,4880
17,5,4880
15,5,4880
15,4,4880
14,4,4880
19,4,4880
19,4,4880
15,4,4880
17,4,4880
22,4,4880
19,3,4880
16,4,4880
25,4,4880
16,5,4880
23,4,4880
15,2,4880
14,3,4880
17,3,4880
21,3,4880
21,5,4880
15,5,4880
21,4,4880
19,4,4880
20,4,4880
15,4,4880
20,3,4880
19,3,4880
22,4,4880
24,3,4880
19,3,4880
20,4,4880
17,4,4880
19,4,4880
18,5,4880
16,3,4880
15,4,4880
17,3,4880
17,4,4880
19,4,4880
22,4,4880
17,4,4880
19,3,4880
20,4,4880
19,5,4880
21,4,4880
17,4,4880
0,6,7600
0,4,7600
0,6,7600
0,5,7600
0,4,7600
0,5,7600
0,4,7600
0,4,7600
0,5,7600
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,3,7600
0,3,7600
0,3,7600
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,5,7600
0,5,7600
0,5,7600
0,4,7600
0,4,7600
0,5,7600
0,4,7600
0,5,7600
0,4,7600
0,5,7600
0,5,7600
0,5,7600
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,5,7600
0,4,7600
0,3,7600
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,6,7600
0,4,7600
32,4,10920
26,4,10920
24,4,10920
28,5,10920
28,5,10920
30,4,10920
32,5,10920
29,6,10920
33,5,10920
25,4,10920
23,4,10920
33,5,10920
37,4,10920
29,4,10920
31,4,10920
33,4,10920
35,5,10920
27,4,10920
31,4,10920
29,3,10920
35,4,10920
26,5,10920
24,5,10920
24,4,10920
24,4,10920
31,4,10920
35,4,10920
26,4,10920
26,5,10920
34,4,10920
27,5,10920
37,4,10920
30,4,10920
27,4,10920
35,4,10920
28,5,10920
32,5,10920
24,4,10920
26,5,10920
26,4,10920
27,5,10920
34,5,10920
27,4,10920
27,4,10920
27,4,10920
32,3,10920
26,4,10920
22,4,10920
26,4,10920
25,4,10920
31,5,10920
0,4,14840
0,5,14840
0,4,14840
0,5,14840
0,4,14840
0,5,14840
0,5,14840
0,5,14840
0,5,14840
0,6,14840
0,4,14840
0,5,14840
0,5,14840
0,5,14840
0,4,14840
0,5,14840
0,5,14840
0,6,14840
0,7,14840
0,5,14840
0,3,14840
0,4,14840
0,5,14840
0,4,14840
0,5,14840
0,4,14840
0,5,14840
0,5,14840
0,5,14840
0,5,14840
0,6,14840
0,4,14840
0,5,14840
0,4,14840
0,4,14840
0,4,14840
0,5,14840
0,5,14840
0,4,14840
0,4,14840
0,5,14840
0,5,14840
0,5,14840
0,6,14840
0,4,14840
0,5,14840
0,4,14840
0,4,14840
0,5,14840
0,5,14840
0,5,14840
34,5,19360
41,4,19360
34,6,19360
31,5,19360
31,5,19360
38,5,19360
35,5,19360
31,5,19360
36,5,19360
32,6,19360
42,4,19360
41,4,19360
35,6,19360
43,5,19360
42,4,19360
31,5,19360
40,6,19360
42,6,19360
39,5,19360
37,4,19360
36,5,19360
37,4,19360
31,5,19360
32,5,19360
31,5,19360
40,4,19360
45,6,19360
35,5,19360
32,5,19360
32,5,19360
35,4,19360
38,5,19360
43,5,19360
31,4,19360
41,5,19360
33,4,19360
29,7,19360
30,4,19360
34,4,19360
33,4,19360
33,5,19360
33,5,19360
41,5,19360
42,5,19360
33,5,19360
35,5,19360
32,4,19360
37,5,19360
43,4,19360
28,3,19360
43,5,19360
0,4,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,4,24480
0,6,24480
0,6,24480
0,5,24480
0,4,24480
0,5,24480
0,5,24480
0,6,24480
0,6,24480
0,4,24480
0,7,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,4,24480
0,5,24480
0,5,24480
0,6,24480
0,5,24480
0,6,24480
0,4,24480
0,5,24480
0,5,24480
0,7,24480
0,5,24480
0,5,24480
0,4,24480
0,6,24480
0,5,24480
0,5,24480
0,5,24480
0,4,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,5,24480
0,6,24480
0,5,24480
44,7,30200
39,5,30200
38,5,30200
54,6,30200
55,5,30200
47,5,30200
38,6,30200
48,6,30200
43,5,30200
52,6,30200
39,6,30200
39,5,30200
45,6,30200
