time,round,nbMessages
9,10,352
8,9,334
8,10,299
6,9,316
8,10,363
11,11,342
6,9,324
5,10,319
10,10,362
8,9,358
5,11,346
6,10,349
7,9,346
7,11,348
7,10,344
8,9,294
8,9,336
8,11,349
7,11,332
8,10,319
9,9,356
9,10,334
7,10,357
7,9,322
7,10,316
8,10,319
6,10,314
7,10,374
6,10,365
8,10,376
8,9,346
15,10,294
8,11,343
5,10,321
8,11,314
8,12,387
7,10,274
7,10,305
6,9,316
8,10,384
8,11,330
6,10,321
8,9,276
9,10,287
7,10,315
9,10,382
7,10,325
7,10,337
8,9,336
8,10,428
10,9,328
14,20,1305
11,20,1202
11,19,1260
10,19,1394
16,19,1335
11,19,1189
11,20,1226
11,19,1255
11,19,1404
14,20,1428
16,19,1297
16,19,1235
14,20,1554
12,20,1290
12,19,1416
14,19,1297
16,20,1408
11,19,1160
11,19,1454
15,19,1171
15,19,1319
38,19,1229
16,19,1255
11,19,1224
10,20,1306
16,19,1253
12,20,1228
15,19,1151
12,20,1246
10,19,1224
14,19,1341
14,19,1158
13,19,1204
9,19,1202
9,19,1441
10,19,1182
11,19,1255
13,19,1273
13,19,1235
11,19,1213
12,19,1220
14,20,1255
17,19,1352
11,19,1171
12,20,1336
13,19,1483
16,19,1224
20,20,1364
13,19,1275
11,19,1231
14,19,1277
21,29,2898
17,29,2688
16,29,2860
21,29,2634
22,29,2792
22,29,3006
23,29,3052
21,29,2562
17,29,2766
18,29,2464
21,29,2658
17,29,2896
23,29,2652
22,29,2714
16,29,2640
20,29,2576
23,29,2876
22,29,2844
41,29,2796
21,29,3336
28,30,2888
21,29,3112
23,29,2814
27,29,3450
19,29,3156
23,29,3532
22,29,2938
21,29,2844
21,29,2916
24,29,2810
36,29,3404
25,29,2878
21,29,2558
20,29,2844
24,29,2920
30,29,2926
25,29,2978
24,29,2732
19,29,2926
22,29,2652
19,29,2820
16,29,2608
18,29,2858
19,29,3280
22,29,2864
21,29,2668
21,29,2966
20,29,2858
22,29,2610
20,29,2958
17,29,2420
25,39,5016
28,39,4926
32,39,5010
29,39,5052
27,39,4615
29,39,4781
27,39,4762
30,39,5094
34,39,5159
29,39,4850
24,39,4388
24,39,4800
25,39,5365
29,39,5077
27,39,4909
27,39,4859
25,39,5602
29,39,5807
27,39,4735
48,39,5033
25,39,6076
40,39,5010
60,39,5306
29,39,5368
50,39,5031
43,39,4760
35,39,4823
33,39,5159
32,39,5250
30,39,5117
42,39,4890
33,39,4657
36,39,5180
29,39,5616
31,39,6148
32,39,5561
31,39,5719
33,39,5683
31,39,5075
33,39,5458
34,39,5420
38,39,4905
31,39,5488
31,39,5237
33,39,4951
37,39,5856
31,39,4827
35,39,5134
29,39,5216
29,39,4554
28,39,4745
41,49,8408
40,49,9360
73,49,8308
49,49,7578
40,49,7554
37,49,7758
36,49,7556
34,49,7772
37,49,7946
34,49,6930
49,49,7784
48,49,7838
38,49,7168
45,49,7704
36,49,7660
31,49,7296
38,49,9082
32,49,7094
52,49,6908
58,49,7734
43,49,7504
37,49,7736
41,49,7814
49,49,7942
40,49,7788
36,49,8838
35,49,6910
38,49,9106
37,49,7616
38,49,7344
29,49,6988
61,49,9116
36,49,8744
41,49,8148
29,49,6856
39,49,7968
38,49,7654
34,49,7404
46,49,8306
47,49,8452
37,49,7890
37,49,8630
40,49,7684
32,49,8388
35,49,6834
44,49,8020
32,49,7608
29,49,7170
30,49,7866
28,49,8326
30,49,8364
36,59,10713
43,59,10864
55,59,10645
47,59,10804
42,59,12213
37,59,11176
35,59,10895
37,59,11205
47,59,10932
39,59,11203
46,59,10905
34,59,10713
39,59,10064
44,59,10839
35,59,11298
47,59,11395
41,59,12059
47,59,10868
50,59,12917
51,59,11697
42,59,10556
38,59,10804
44,59,12190
42,59,10990
38,59,12523
46,59,11637
47,59,11176
51,59,11234
29,59,10004
44,59,10682
45,59,10804
52,59,10624
44,59,11537
46,59,11296
50,59,11141
59,59,11331
53,59,11672
49,59,11639
40,59,10277
46,59,11410
41,59,11174
48,59,11263
38,59,10771
45,59,10496
45,59,11484
67,59,14434
56,59,12257
46,59,10680
49,59,12684
64,59,13012
45,59,11497
72,69,13924
74,69,15922
49,69,14596
48,69,13174
62,69,15534
37,69,15614
45,69,14384
40,69,13450
38,69,14134
43,69,14872
39,69,14742
40,69,16362
40,69,14172
40,69,13772
46,69,18196
45,69,15134
51,69,14632
50,69,16232
51,69,15876
47,69,15360
49,69,14414
77,69,16174
40,69,15412
46,69,17854
53,69,15084
51,69,16200
60,69,15204
51,69,14274
57,69,13956
57,69,16184
51,69,14314
54,69,14526
54,69,14956
46,69,15962
48,69,15816
54,69,14566
42,69,14708
52,69,14774
36,69,14820
71,69,14956
40,69,14952
73,69,13628
58,69,15352
51,69,14750
44,69,13664
53,69,14922
55,69,14272
53,69,14990
61,69,16952
56,69,17452
54,69,14312
52,79,18056
91,79,19827
98,79,20637
82,79,21090
121,79,20135
78,79,21878
104,79,24407
101,79,22986
69,79,21306
62,79,22301
82,79,20406
63,79,18347
58,79,18550
56,79,17578
69,79,20596
83,79,20387
112,79,20764
66,79,19948
95,79,23441
79,79,22947
57,79,17654
70,79,18792
85,79,22073
119,79,20924
66,79,20836
83,79,21089
61,79,18628
81,79,22385
83,79,19860
58,79,18796
78,79,21361
72,79,20877
82,79,21166
59,79,18843
44,79,18917
46,79,18956
53,79,17289
51,79,19692
68,79,20396
41,79,18919
85,79,18353
41,79,17947
61,79,20954
65,79,19858
66,79,20643
91,79,21339
67,79,20790
48,79,19651
