time,round,nbMessages
0,2,320
0,2,320
0,3,320
0,4,320
0,3,320
0,2,320
0,3,320
0,2,320
0,4,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,2,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,2,320
0,2,320
0,2,320
0,3,320
0,4,320
0,3,320
0,2,320
0,3,320
0,2,320
0,2,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,3,320
0,2,320
0,2,320
0,3,320
0,4,320
0,3,320
0,2,320
0,3,320
0,3,320
0,3,320
11,3,1240
10,3,1240
19,3,1240
15,2,1240
15,3,1240
10,3,1240
8,4,1240
8,3,1240
11,4,1240
13,3,1240
13,4,1240
9,3,1240
11,3,1240
9,3,1240
9,3,1240
9,6,1240
11,3,1240
9,4,1240
10,4,1240
12,4,1240
10,2,1240
14,2,1240
9,3,1240
13,3,1240
11,4,1240
18,2,1240
14,4,1240
13,3,1240
12,3,1240
13,3,1240
12,3,1240
13,3,1240
10,3,1240
10,3,1240
10,3,1240
12,2,1240
11,4,1240
9,3,1240
11,3,1240
10,3,1240
12,2,1240
12,3,1240
12,3,1240
12,3,1240
12,3,1240
9,4,1240
13,4,1240
14,3,1240
15,4,1240
11,2,1240
11,3,1240
0,3,2760
0,4,2760
0,3,2760
0,4,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,3,2760
0,3,2760
0,3,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,5,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,5,2760
0,3,2760
0,6,2760
0,4,2760
0,3,2760
0,4,2760
0,3,2760
0,5,2760
0,3,2760
0,4,2760
0,5,2760
0,4,2760
0,4,2760
0,4,2760
0,3,2760
0,3,2760
0,4,2760
0,4,2760
0,2,2760
19,3,4880
16,4,4880
20,6,4880
17,4,4880
17,5,4880
16,3,4880
24,4,4880
18,5,4880
15,3,4880
19,4,4880
27,3,4880
24,4,4880
22,4,4880
23,4,4880
14,4,4880
22,4,4880
19,3,4880
21,3,4880
18,4,4880
15,4,4880
24,3,4880
18,4,4880
26,5,4880
16,4,4880
22,4,4880
17,4,4880
24,4,4880
16,4,4880
17,5,4880
16,3,4880
15,3,4880
17,4,4880
22,4,4880
19,4,4880
18,4,4880
20,4,4880
18,4,4880
17,4,4880
15,3,4880
17,3,4880
22,4,4880
20,3,4880
18,4,4880
19,3,4880
22,4,4880
19,3,4880
16,5,4880
30,4,4880
15,3,4880
20,5,4880
20,4,4880
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,5,7600
0,4,7600
0,4,7600
0,4,7600
0,3,7600
0,4,7600
0,4,7600
0,4,7600
0,5,7600
0,3,7600
0,3,7600
0,5,7600
0,4,7600
0,5,7600
0,5,7600
0,3,7600
0,4,7600
0,5,7600
0,4,7600
0,4,7600
0,5,7600
0,4,7600
0,6,7600
0,6,7600
0,4,7600
0,4,7600
0,4,7600
0,4,7600
0,3,7600
0,5,7600
0,4,7600
0,4,7600
