time,round,nbMessages
11,11,366
9,9,334
10,10,306
8,9,316
11,10,363
8,11,314
10,9,324
11,10,319
11,11,319
10,10,364
9,11,366
9,11,370
8,9,346
9,11,338
8,10,344
10,10,295
9,9,336
8,10,387
12,11,318
9,10,307
8,9,356
10,10,346
8,10,339
8,10,324
10,10,316
10,11,295
10,10,344
8,10,374
11,10,365
11,12,351
10,10,384
8,10,306
9,11,311
10,10,311
8,10,331
8,10,309
10,10,275
8,10,310
8,9,316
8,10,337
11,11,327
10,10,331
9,9,276
10,10,319
8,11,300
9,10,382
9,10,317
11,10,327
8,9,336
9,10,386
9,9,328
18,21,1355
19,20,1202
13,19,1260
14,19,1394
16,19,1335
14,19,1189
18,20,1226
13,19,1255
16,19,1404
16,20,1439
17,19,1297
16,20,1246
20,20,1565
20,20,1310
18,19,1277
16,19,1297
18,20,1408
19,19,1160
18,20,1436
15,19,1171
14,19,1319
16,19,1129
20,19,1255
21,20,1267
18,20,1445
16,19,1253
17,20,1166
12,19,1151
16,20,1379
15,19,1224
20,19,1341
15,19,1158
18,19,1204
17,19,1202
16,19,1441
17,19,1182
19,19,1255
14,19,1273
15,19,1235
17,19,1213
15,19,1220
17,20,1255
17,20,1332
18,19,1171
20,20,1365
19,19,1483
15,19,1224
26,19,1321
16,19,1275
12,19,1231
18,19,1277
24,29,2824
27,29,2688
23,29,2874
21,29,2634
24,29,2792
24,30,3209
24,30,3725
24,29,2814
22,29,3034
20,29,2464
24,29,2658
30,29,2702
25,29,2652
23,29,2714
24,29,2640
24,29,2576
26,29,2876
22,29,2844
19,29,2796
39,29,3710
34,30,2888
36,29,3112
30,29,2814
22,29,3048
31,29,3020
33,29,3622
22,29,2938
23,29,2844
31,29,2800
21,29,2810
26,29,3404
33,29,3012
22,29,2558
22,29,2716
30,29,2920
40,29,2926
26,29,2978
22,29,2732
25,29,3124
25,29,2652
25,29,2770
29,29,2608
25,29,2858
26,30,3245
28,29,2864
32,29,2668
40,29,2966
45,29,2976
21,29,2610
25,29,2958
27,29,2494
31,39,5058
37,39,4926
37,39,5050
61,39,5052
51,39,5389
30,39,4678
33,39,4762
62,39,4659
29,39,4718
33,39,4987
30,39,4327
31,39,4554
38,39,5535
31,39,4674
30,39,4909
33,39,4859
30,39,5225
31,39,5807
34,39,4737
46,39,5052
37,39,5388
33,39,4890
45,39,5765
82,39,5033
48,39,5031
35,39,4762
29,39,4634
39,39,4926
39,39,5498
38,39,5117
37,39,5309
32,39,4720
33,39,5573
28,39,4823
34,39,6005
39,39,5386
34,39,4787
31,39,5290
37,39,5115
48,39,5458
34,39,4991
70,39,5176
44,39,5147
79,39,5138
38,39,4951
39,39,4825
63,39,5218
40,39,5407
36,39,5216
35,39,4367
34,39,4806
84,49,7456
55,49,7012
39,49,6806
45,49,7580
37,49,6964
47,49,9084
49,49,8334
48,49,7866
53,49,7946
37,49,7578
41,49,7762
48,49,8200
42,49,7918
50,49,7938
60,49,8124
60,49,8332
46,49,9154
38,49,7298
46,49,7866
33,49,7614
43,49,7576
36,49,7320
43,49,7734
52,49,8906
58,49,9242
51,49,7504
35,49,7660
40,49,8022
49,49,8460
46,49,7528
55,49,7140
79,49,9544
70,49,8074
54,49,7634
75,49,8376
35,49,7014
44,49,8050
33,49,8330
55,49,8124
40,49,7738
54,49,7640
53,49,8098
44,49,7606
41,49,7426
35,49,7292
36,49,7400
40,49,7970
58,49,7460
61,49,8284
41,49,8064
34,49,8366
37,59,10986
61,59,11763
37,59,10713
66,59,9698
48,59,11358
55,59,10277
64,59,10705
64,59,11366
59,59,10496
38,59,11191
60,59,11968
67,59,12075
38,59,10837
69,59,11701
39,59,11019
40,59,13040
37,59,10682
34,59,12190
35,59,10126
41,59,12827
43,59,10899
49,59,10895
44,59,12009
53,59,10744
46,59,11395
70,59,11960
68,59,12746
43,59,12016
34,59,10035
46,59,13139
43,59,10895
69,59,11172
56,59,11666
48,59,10585
46,59,11083
43,59,11358
55,59,11294
52,59,11455
45,59,11544
44,59,12308
46,59,12655
44,59,10713
43,59,11389
62,59,14471
38,59,9948
45,59,10715
39,59,11267
48,59,11143
45,59,10825
38,59,12769
45,59,12041
76,69,14100
101,69,16452
63,69,14810
53,69,16746
54,69,14454
73,69,17430
59,69,15562
101,69,16428
52,69,14778
65,69,15314
58,69,14954
45,69,13880
47,69,14270
51,69,14346
52,69,17012
83,69,15820
54,69,15090
86,69,14446
63,69,16556
63,69,14204
91,69,15348
63,69,15060
86,69,15024
86,69,14488
83,69,16250
70,69,14382
63,69,15356
72,69,14496
69,69,14848
40,69,14632
41,69,14306
37,69,13560
62,69,16034
63,69,14598
73,69,15460
48,69,14956
54,69,14600
46,69,13950
44,69,14704
64,69,14960
50,69,15962
56,69,18486
55,69,15964
62,69,15138
47,69,15788
59,69,15020
52,69,16100
41,69,13702
42,69,13986
44,69,15180
42,69,13880
63,79,18390
91,79,26304
71,79,18675
68,79,19200
61,79,21093
73,79,19815
50,79,20334
70,79,20475
65,79,19575
98,79,21410
72,79,21698
59,79,20229
43,79,18552
81,79,19169
79,79,21239
66,79,21666
59,79,22063
54,79,20833
62,79,18189
63,79,18552
75,79,18351
122,79,20914
80,79,19253
79,79,18798
110,79,23453
99,79,21821
85,79,19411
100,79,19817
93,79,19698
174,79,21973
142,79,21416
92,79,19161
69,79,19044
69,79,20674
50,79,19376
67,79,20744
42,79,17949
62,79,20272
47,79,18468
78,79,19940
76,79,24672
59,79,20227
53,79,21364
59,79,20227
82,79,20471
47,79,18509
61,79,18187
62,79,21506
63,79,18921
68,79,19778
69,79,19247
87,89,27244
94,89,25628
147,89,26652
77,89,24638
153,89,25724
114,89,26326
118,89,26598
93,89,24032
85,89,23530
108,89,30082
87,89,26294
121,89,26632
94,89,24810
111,89,23718
105,89,25862
55,89,22796
102,89,24034
114,89,24898
87,89,23388
76,89,24034
138,89,28764
90,89,26740
110,89,23342
94,89,28428
102,89,29534
87,89,23844
95,89,22468
70,89,23436
76,89,25818
94,89,29566
60,89,23390
73,89,25452
54,89,23938
72,89,24078
70,89,23570
138,89,26280
100,89,23848
116,89,28470
113,89,25778
91,89,23198
144,89,28260
123,89,24174
57,89,24576
64,89,24078
53,89,24126
79,89,22290
70,89,23074
78,89,23622
166,89,25500
185,89,28752
78,89,24630
147,99,35248
106,99,30414
102,99,33175
119,99,31122
72,99,28782
91,99,30259
68,99,28839
95,99,34245
85,99,28688
119,99,30565
99,99,31889
99,99,31671
102,99,35040
101,99,29747
92,99,30775
124,99,36058
103,99,30414
184,99,34075
173,99,31279
74,99,27874
172,99,33319
88,99,30259
72,99,29039
88,99,31432
59,99,27572
72,99,30261
55,99,27317
128,99,33007
84,99,29494
57,99,30429
49,99,29668
52,99,28888
86,99,30977
76,99,29898
65,99,33718
48,99,27717
75,99,30412
66,99,29243
71,99,31071
86,99,33008
68,99,31567
88,99,30971
68,99,32556
59,99,29043
59,99,27923
57,99,28231
111,99,37068
60,99,32633
79,99,31381
85,99,31077
58,99,30259
121,109,41682
144,109,43558
80,109,35858
96,109,41698
89,109,37256
115,109,37930
89,109,42524
88,109,40528
78,109,35018
128,109,39710
94,109,37420
103,109,37292
101,109,43322
107,109,41614
90,109,38264
88,109,34694
100,109,39186
190,109,39552
74,109,37038
