time,nbMessages
0,0
6,1471
0,0
0,0
5,1661
0,0
5,1450
0,0
5,1462
4,1440
0,0
4,1440
0,0
0,0
0,0
0,0
6,1451
8,1452
4,1440
7,1452
5,1472
5,1451
6,1650
7,1460
5,1650
6,1871
4,1661
4,1450
4,1460
0,0
4,1482
4,1451
0,0
5,1430
0,0
5,1440
0,295
5,1472
1,1110
5,1441
6,1870
0,11
5,1503
5,1460
2,1440
0,13
6,1450
0,11
0,11
5,1851
5,1650
5,4790
7,4770
11,4810
0,0
7,4851
8,4851
7,4810
8,4810
6,4810
10,5590
7,4831
11,5590
10,5180
0,0
0,0
8,5590
6,5220
0,0
10,5220
11,4810
0,0
0,0
9,4810
0,0
12,4810
0,0
0,0
0,0
9,4830
11,5570
0,0
8,4870
13,5590
12,4790
10,4830
0,0
0,0
2,3552
10,5180
7,4831
8,5200
8,4850
12,5300
10,5200
0,0
8,4830
7,4830
0,0
7,6000
8,4850
10,6000
14,10150
0,0
0,0
16,10150
10,10211
12,11370
0,0
15,10670
0,0
16,10700
0,0
0,0
11,10210
10,10090
14,10090
0,0
20,11220
13,10150
15,10150
16,13570
0,0
14,10150
0,0
18,10150
0,0
0,0
16,13020
14,10090
13,10120
14,11800
11,10120
0,0
0,0
11,10210
15,10090
12,10120
22,13020
0,0
0,0
15,10150
14,10120
0,0
0,0
0,0
12,11340
0,0
13,10790
0,0
11,10120
16,11340
17,10090
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,18180
0,0
0,0
0,0
0,0
17,17370
0,0
0,0
24,18871
15,17330
17,17410
0,0
19,18060
27,17410
0,0
0,0
25,21220
0,0
24,20450
0,0
0,0
0,0
17,17330
0,0
20,17250
0,0
15,17330
18,19680
0,0
0,0
18,19680
21,17411
0,0
0,0
17,17250
0,0
26,22680
20,17370
16,17290
15,17290
0,0
0,0
0,0
26,20490
34,26360
0,0
41,31460
29,26560
0,0
32,28330
24,26660
0,0
0,0
0,0
33,31310
38,31410
34,26760
0,0
35,27520
34,28380
0,0
0,0
32,30200
26,28330
35,26460
0,0
36,28380
37,26510
0,0
0,0
0,0
0,0
44,29290
30,26510
0,0
0,0
33,26560
33,30300
0,0
0,0
0,0
0,0
0,0
28,31360
27,26510
0,0
0,0
0,0
46,29390
35,27520
0,0
37,26460
31,29590
21,29390
0,0
0,0
33,41080
0,0
0,0
0,0
46,37450
0,0
50,37630
0,0
7,29020
0,0
39,43260
0,0
0,0
0,0
35,37691
0,0
0,0
45,37750
30,37450
37,39750
0,0
40,37570
32,42110
0,0
0,0
0,0
33,38720
0,0
0,0
45,44470
0,0
0,0
41,37690
52,46710
43,39810
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
45,43200
0,0
0,0
57,44410
39,47920
0,0
0,0
0,0
0,0
0,0
43,55910
0,0
0,0
0,0
0,0
39,58730
51,54430
0,0
0,0
0,0
0,0
42,58660
0,0
0,0
0,0
49,59930
0,0
0,0
47,53160
0,0
0,0
54,50340
42,53300
0,0
0,0
0,0
0,0
0,0
0,0
0,0
46,58870
54,51890
0,0
76,55560
0,0
76,50410
0,0
55,58520
61,57320
50,57250
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60,70040
61,68430
0,0
0,0
0,0
80,79060
60,71810
0,0
0,0
0,0
0,0
0,0
67,74790
0,0
0,0
0,0
0,0
0,0
0,0
82,71410
0,0
0,0
0,0
0,0
67,73260
0,0
0,0
76,77850
0,0
0,0
74,66820
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
59,73260
0,0
53,70040
58,69880
55,65210
56,70200
0,0
0,0
60,69800
0,0
51,90960
68,85530
63,92590
69,94040
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
62,85620
0,0
0,0
0,0
0,0
55,89060
64,89330
69,90690
0,0
0,0
56,83810
60,90780
0,0
53,82000
0,0
0,0
0,0
0,0
0,0
56,85440
60,85350
0,0
0,0
91,92410
0,0
0,0
0,0
0,0
0,0
0,0
62,87340
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
90,106240
0,0
0,0
0,0
79,118200
62,107240
0,0
0,0
78,110760
0,0
0,0
0,0
67,102620
0,0
0,0
0,0
72,106740
0,0
74,108250
0,0
73,124130
0,0
0,0
0,0
73,106540
0,0
0,0
0,0
0,0
0,0
0,0
0,0
65,104830
0,0
0,0
0,0
0,0
0,0
83,129520
70,127860
95,127420
0,0
0,0
0,0
0,0
0,0
101,134050
95,125760
77,123440
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
98,123880
0,0
0,0
0,0
89,125870
93,140130
82,127860
0,0
0,0
0,0
0,0
95,130070
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
92,140350
0,0
96,136260
0,0
0,0
0,0
93,138470
90,133940
0,0
