time,nbMessages
0,0
8,2210
7,2240
9,2210
6,2230
6,2220
5,1518
8,2240
6,2240
6,2250
6,2180
7,2240
6,2220
5,2250
8,1580
2,790
7,2250
6,2220
7,2240
7,1626
7,2240
7,2240
6,2240
7,2240
7,2200
8,2210
6,2250
6,2210
0,0
7,2220
7,2240
6,2230
7,2260
7,2240
5,1693
7,1603
11,2250
7,2220
7,2230
8,2210
7,2240
6,2220
6,2230
8,2230
11,2200
7,2220
6,2230
4,2230
7,2250
10,2270
6,2210
11,8220
12,8280
11,8260
13,8260
11,8260
11,8300
11,8280
12,8280
8,8380
12,8260
10,8240
20,8320
12,8340
10,8380
10,8340
10,8260
11,8280
9,8320
14,8260
11,8240
11,8220
12,8340
14,8240
11,8220
10,8320
10,8300
11,8320
10,8220
11,8280
10,8360
8,8300
10,8220
8,8200
10,8280
10,8300
10,8340
8,2520
9,8199
8,8200
7,8340
8,8340
9,8260
12,8280
11,8300
11,8320
14,5940
12,8240
11,8320
10,8260
11,8260
0,0
19,18330
17,18240
18,17970
13,18120
11,18090
14,18150
14,18210
19,18060
13,18150
17,18120
13,18270
0,0
19,18180
25,18150
16,18210
0,0
33,18240
22,18210
16,18060
17,18060
17,18060
13,18000
15,18150
17,18060
12,18150
14,17970
18,18120
18,18060
0,0
16,18060
19,18120
20,18210
21,18120
17,18090
18,18120
0,0
28,18210
23,18060
20,17970
17,18150
29,18180
19,18060
20,18150
25,18270
19,14539
20,18120
17,18090
19,18270
26,18240
45,18180
17,18090
27,31920
28,31840
37,31760
37,31920
24,31680
24,31760
37,32000
32,31760
32,26215
24,31680
24,31800
30,31880
0,0
39,31600
27,31600
21,31600
31,31640
30,31760
0,0
24,31560
29,31840
42,32000
21,31960
31,31800
24,31760
23,31800
0,0
23,31600
30,25590
23,31840
30,31800
23,31840
22,31800
31,31720
34,32080
32,31880
24,31560
22,31880
27,31840
32,31920
28,31920
41,20380
32,31840
26,31880
28,31920
25,31720
32,31920
24,32000
25,31680
29,31560
31,31680
33,49250
27,49350
31,48950
46,49500
28,49500
31,49250
40,49350
30,49400
39,49200
46,49200
29,49200
57,38970
32,49300
44,49400
42,49400
39,49350
41,49150
38,49250
43,49350
0,0
31,49350
46,49450
39,49250
31,49450
0,0
32,49500
41,49250
30,49050
31,48900
28,49400
38,49150
30,49050
43,49000
27,49250
43,49250
40,49000
43,48900
32,49450
34,49150
38,48850
39,49600
38,49300
29,49300
30,49250
40,49150
37,49449
41,49300
47,49650
32,49350
32,49000
36,48950
45,70620
40,70440
44,70380
50,70380
43,71100
0,0
44,70800
36,70920
48,70740
50,70680
0,0
39,70860
39,70800
44,70260
43,70500
39,70560
0,0
42,70800
38,70560
45,70860
43,70440
56,70020
55,70860
48,70560
43,70740
41,70740
45,70380
38,70620
0,0
56,70200
43,70680
63,60333
0,0
38,70260
54,70320
48,70200
39,70500
46,70560
43,70860
42,70380
54,70440
56,50713
62,70680
0,0
49,70500
42,70620
47,70860
55,70260
34,69960
51,70740
36,70080
0,0
56,95900
52,95830
62,95130
45,95480
77,95270
65,95760
69,95060
55,95480
60,95340
47,95690
62,95900
74,96040
67,96110
66,95550
61,95550
76,95620
56,95760
68,95690
74,95760
61,95200
70,95480
82,96250
45,95830
62,95130
59,95760
73,95690
54,95970
60,95760
82,95550
56,95130
0,0
75,95620
61,96110
55,95620
71,95410
62,95410
61,95060
61,95340
63,95830
50,95830
59,95900
59,95340
87,95060
0,0
58,95340
59,95690
82,95830
78,95690
66,95760
68,95130
76,124080
87,124480
80,124000
87,124400
67,124800
88,92736
65,124560
61,124880
74,124080
72,124080
82,124400
79,125040
84,124720
83,124640
67,124240
78,124480
72,124240
71,124560
95,123600
73,124480
97,124240
94,124400
77,124400
102,125200
85,124640
79,124320
92,124480
65,124960
83,124320
89,124480
100,124320
77,124080
71,124480
83,124720
67,124640
60,124720
115,124400
73,124960
85,125120
72,124640
69,124720
69,124720
82,124080
89,125120
64,124800
86,124640
80,123680
67,124720
70,124080
71,123680
95,124480
111,156870
79,157140
103,156510
104,157590
0,0
100,157320
90,156960
101,157320
96,157320
80,157590
90,157500
72,156960
75,157140
86,157230
103,156600
84,157950
79,157320
116,157050
103,156240
108,157050
81,157410
86,157860
89,157860
104,156960
122,157410
109,157140
111,156870
96,157230
90,156960
97,156870
143,157500
84,157950
77,156780
0,0
138,157050
100,157410
105,156780
110,157500
95,156780
85,157140
84,156600
90,157230
148,95766
85,157410
85,157950
83,156690
104,156330
109,157050
92,156780
90,156960
106,156690
114,194000
109,194100
100,192500
99,194100
110,193600
102,193600
117,193000
111,194100
97,193500
95,193900
147,165183
96,194100
151,152112
95,194000
102,193300
119,193400
114,194000
96,193800
99,193300
102,194500
111,193500
116,194400
106,193600
119,194200
105,193500
0,0
106,194500
114,193500
96,193000
96,193600
96,194200
145,194000
124,192900
130,194300
113,193600
106,192500
122,193500
116,193300
140,193700
155,192900
125,159540
153,194300
162,194200
139,193400
130,193200
108,193700
100,193700
152,159781
107,193800
102,194200
129,194200
109,234410
118,234300
0,0
128,233970
143,234190
133,233860
118,233640
120,232980
138,233420
132,233420
126,233310
132,233860
133,234410
0,0
108,234630
126,233310
130,234080
159,235070
160,234300
128,234410
114,233970
150,233420
130,234300
123,232980
138,234410
134,234080
110,234080
127,234190
119,234850
0,0
122,233750
152,233640
142,233970
112,233310
0,0
116,234740
123,234190
135,234080
123,234080
121,234410
0,0
147,234190
134,232760
108,234410
136,234850
123,234520
111,234520
124,233530
121,234960
115,233640
125,233640
131,278760
132,279120
161,278520
0,0
200,236744
161,276960
133,277920
160,277320
175,279000
0,0
139,278160
138,277200
145,278640
132,277680
157,275520
128,278040
137,279000
152,279240
127,277440
132,278760
149,279240
138,276960
0,0
161,277920
139,278280
124,277800
215,213840
139,277680
147,277800
135,277800
137,278640
132,277800
127,277680
160,278160
0,0
144,278040
142,278880
132,278520
200,278280
163,277680
0,0
0,0
148,276600
140,277800
0,0
136,278280
138,277080
161,277680
226,278880
165,277200
181,278760
156,326690
173,325910
164,325650
219,326430
236,325000
167,325520
166,326040
165,326560
189,325000
193,326430
162,325910
164,326170
174,325650
177,327340
169,326560
144,325520
193,325780
172,325910
202,236539
152,325650
187,325910
190,325390
154,326820
283,211516
172,326040
162,325910
184,325260
172,325650
193,326430
143,325910
175,324740
183,326430
249,210157
194,326950
185,326430
194,325780
182,326690
157,326950
150,326430
163,326430
155,327340
159,325390
160,326040
160,326040
187,326170
269,265822
164,327080
168,325000
194,326950
165,326300
195,326560
211,376600
201,378140
179,377860
203,377580
186,376740
187,378840
197,377020
196,378000
173,378280
212,377720
313,307828
188,378000
203,378280
0,0
268,378000
202,376320
192,377300
185,375900
193,378140
235,378280
210,377860
194,378420
185,376880
177,377160
189,375200
210,377860
209,378000
0,0
198,378560
188,377300
195,377440
201,378140
173,377860
168,378420
200,376320
191,378420
191,377020
177,377300
182,378700
172,377300
185,377300
206,377860
185,377720
0,0
213,378280
189,378420
223,378840
183,377300
192,377720
206,377720
223,377440
254,432750
0,0
246,431850
213,433350
241,432900
241,433500
213,434700
236,434100
209,434250
217,433800
231,430800
202,432000
215,433200
199,432450
227,433650
210,432900
230,432750
213,432000
271,433050
0,0
200,432900
211,433650
205,433050
199,433800
201,433050
220,432900
195,434400
192,434250
221,433350
210,433050
199,433950
280,433350
245,434250
225,432300
199,434700
227,432450
207,433350
0,0
212,435300
218,432600
219,432600
230,433800
211,434700
249,433350
222,433500
204,433950
223,433500
228,432150
203,432600
261,434250
230,434400
248,492640
267,493440
258,492320
219,492960
269,493440
234,492960
281,492160
251,492000
240,492480
434,414046
0,0
434,492160
231,489920
233,493760
239,492960
0,0
253,492480
252,493280
239,492640
252,492800
230,491680
259,492320
241,491520
241,491680
262,492800
242,492320
253,492640
263,493760
245,493760
242,494240
225,493120
0,0
208,492640
387,396285
263,493120
232,492480
236,492000
267,492160
220,492960
0,0
242,492000
234,492800
265,491360
238,490560
277,492480
238,493920
245,492000
250,491360
238,491840
0,0
255,492800
273,556410
290,554200
277,558110
241,555560
274,556410
266,555390
271,555560
270,554710
291,556240
0,0
277,556070
277,555390
0,0
250,555390
275,556410
0,0
283,555900
283,556580
263,554200
245,556240
262,554030
0,0
274,556240
0,0
247,555900
269,556070
304,556240
258,555220
0,0
264,556240
300,557090
282,555900
306,555390
291,557260
269,555560
272,556410
301,555390
363,555900
0,0
247,555390
272,553350
270,556410
254,555900
254,556580
0,0
255,556580
0,0
261,556580
319,554540
266,555900
307,556240
359,623700
296,621540
0,0
315,624600
325,622980
317,624240
335,621540
713,423349
473,622980
472,621540
0,0
313,622980
292,623700
321,623520
303,622260
296,622260
318,621360
280,624240
0,0
289,622260
328,622800
313,622980
324,623520
309,623340
292,624780
306,621540
293,622974
303,622620
309,622620
279,622800
318,622620
268,623160
328,624600
376,622080
310,623340
341,624060
292,624060
323,623520
270,624780
297,622440
276,624960
344,623340
0,0
0,0
279,621900
323,623160
272,620460
318,624060
280,623520
265,623520
323,622260
366,691980
308,695020
324,694830
0,0
350,694450
360,693880
339,692550
0,0
318,694070
382,692360
331,694640
338,693500
332,691220
334,694260
326,694830
344,694450
324,692550
317,692740
324,693500
353,695020
352,693690
363,695210
352,694070
313,691030
329,692930
355,693880
341,692170
336,694450
325,694260
346,691600
362,693690
328,692930
322,695210
414,691600
0,0
330,695020
343,695210
312,691410
303,693500
366,694070
348,693880
327,694830
366,693880
346,695210
374,694640
310,693500
497,694830
391,694260
304,694070
314,689890
316,693500
363,770200
0,0
391,768600
371,769000
401,769000
387,767600
0,0
0,0
424,768600
448,766200
439,769600
364,770400
401,769800
0,0
359,767200
0,0
391,770000
391,769600
461,767600
412,767000
370,768600
439,767600
468,765800
435,768000
412,768800
447,768600
0,0
448,770200
444,767600
405,769600
517,560714
363,767600
418,768000
381,766400
373,768400
404,769200
413,766800
348,770200
